pr_author_login,pr_author_name,pr_create_at,pr_merged_at,pr_changed_files,pr_LOC,pr_reviewers,pr_first_review_at,pr_review_commits,pr_review_comments,pr_commits,repo_stars,repo_created_at,repo_external_contribution,repo_team_size,user_followers,user_created_at,user_experience,user_repo_experience,user_main_member,user_watched,user_succ_rate
felixxm,Mariusz Felisiak,2021-07-29T10:08:10Z,2021-07-29T17:11:43Z,4,24,"{'Carlton Gibson', 'Hasan Ramezani'}",2021-07-29 10:10:57,0,0,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,428,2012-11-22T20:10:35Z,34.01,29.0,1,1,0.7350779182593355
felixxm,Mariusz Felisiak,2021-07-29T08:19:18Z,2021-07-29T09:54:14Z,1,3,"{'Nick Pope', 'Mariusz Felisiak'}",2021-07-29 08:26:47,0,1,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,428,2012-11-22T20:10:35Z,34.01,29.0,1,1,0.7350779182593355
smithdc1,David Smith,2021-07-28T07:35:06Z,2021-07-29T04:46:57Z,113,532,"{'David Smith', 'Chris Jerdonek', 'Mariusz Felisiak'}",2021-07-28 07:52:14,0,21,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,16,2018-05-19T21:10:34Z,43.01,8.0,0,0,0.6975122064636131
chrishna1,Bal Krishna Jha,2021-07-27T19:10:49Z,2021-07-28T10:18:58Z,3,430,"{'Bal Krishna Jha', 'Chris Jerdonek'}",2021-07-27 19:47:42,1,7,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,7,2017-02-26T23:01:11Z,4.01,1.0,0,1,0.49875311720698257
abhiabhi94,Abhyudai,2021-07-27T13:40:37Z,2021-07-29T04:51:09Z,1,2,"{'Abhyudai', 'Nick Pope', 'Rohith PR'}",2021-07-27 17:04:57,0,2,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,10,2015-08-20T04:11:16Z,37.01,8.0,0,1,0.9186706295595786
cuu508,Pēteris Caune,2021-07-27T10:57:39Z,2021-07-28T10:51:13Z,1,2,{'Keryn Knight'},2021-07-28 09:22:14,0,0,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,70,2011-03-10T12:14:40Z,13.01,1.0,0,0,0.46118370484242893
smithdc1,David Smith,2021-07-27T07:08:20Z,2021-07-27T08:41:51Z,18,69,"{'David Smith', 'Mariusz Felisiak'}",2021-07-27 07:37:21,0,3,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,16,2018-05-19T21:10:34Z,43.01,8.0,0,0,0.6975122064636131
cjerdonek,Chris Jerdonek,2021-07-26T17:00:31Z,2021-07-27T19:56:36Z,2,75,"{'Chris Jerdonek', 'Mariusz Felisiak'}",2021-07-27 06:09:22,1,3,2,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,192,2010-08-06T03:04:24Z,14.01,14.0,0,0,0.92790863668808
baidoosik,Jordan Bae,2021-07-26T15:01:29Z,2021-07-27T06:17:41Z,3,27,{'Mariusz Felisiak'},2021-07-27 05:00:25,0,1,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,10,2016-10-27T08:28:30Z,1.01,1.0,0,1,0.9900990099009901
kezabelle,Keryn Knight,2021-07-26T14:43:20Z,2021-07-28T08:45:21Z,11,103,"{'Keryn Knight', 'Mariusz Felisiak'}",2021-07-26 14:45:40,1,7,2,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,34,2009-08-22T21:31:11Z,12.01,12.0,0,1,0.6661115736885929
felixxm,Mariusz Felisiak,2021-07-26T11:31:26Z,2021-07-27T05:05:46Z,1,31,"{'Jacob Walls', 'Nick Pope', 'Mariusz Felisiak'}",2021-07-26 12:48:25,0,2,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,428,2012-11-22T20:10:35Z,34.01,29.0,1,1,0.7350779182593355
smithdc1,David Smith,2021-07-26T07:35:15Z,2021-07-28T10:56:57Z,3,6,"{'David Smith', 'Mariusz Felisiak'}",2021-07-26 21:49:41,0,2,2,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,16,2018-05-19T21:10:34Z,43.01,8.0,0,0,0.6975122064636131
David-Wobrock,David Wobrock,2021-07-24T06:21:01Z,2021-07-26T07:49:37Z,2,59,"{'Keryn Knight', 'David Wobrock', 'Chris Jerdonek', 'Mariusz Felisiak'}",2021-07-24 10:48:43,0,6,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,36,2014-08-28T17:58:26Z,18.009999999999998,2.0,0,1,0.8883953359244865
cjerdonek,Chris Jerdonek,2021-07-23T14:27:59Z,2021-07-29T17:10:16Z,2,46,"{'Chris Jerdonek', 'Mariusz Felisiak'}",2021-07-23 14:56:04,0,2,2,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,192,2010-08-06T03:04:24Z,14.01,14.0,0,0,0.92790863668808
abhiabhi94,Abhyudai,2021-07-23T08:49:46Z,2021-07-26T06:50:38Z,1,6,"{'Abhyudai', 'Chris Jerdonek', 'Mariusz Felisiak'}",2021-07-23 15:07:19,0,10,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,10,2015-08-20T04:11:16Z,37.01,8.0,0,1,0.9186706295595786
virtosubogdan,Virtosu Bogdan,2021-07-22T08:51:12Z,2021-07-23T14:32:30Z,2,103,"{'Virtosu Bogdan', 'Chris Jerdonek', 'Mariusz Felisiak'}",2021-07-22 09:06:23,2,9,2,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,8,2011-03-01T20:24:56Z,1.01,1.0,0,1,0.9900990099009901
felixxm,Mariusz Felisiak,2021-07-22T06:26:24Z,2021-07-22T07:42:07Z,2,49,"{'Mariusz Felisiak', 'Paolo Melchiorre', 'Chris Jerdonek', 'Hasan Ramezani'}",2021-07-22 06:39:25,0,2,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,428,2012-11-22T20:10:35Z,34.01,29.0,1,1,0.7350779182593355
carltongibson,Carlton Gibson,2021-07-21T09:31:35Z,2021-07-21T10:32:39Z,1,4,{'Mariusz Felisiak'},2021-07-21 09:34:04,0,1,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,903,2009-03-18T20:43:42Z,41.01,14.0,1,1,0.60960741282614
pope1ni,Nick Pope,2021-07-20T14:46:42Z,2021-07-22T07:41:13Z,10,54,"{'Nick Pope', 'Tim Graham', 'Mariusz Felisiak'}",2021-07-20 15:30:35,1,6,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,62,2012-11-21T17:07:20Z,16.009999999999998,16.0,0,1,0.43722673329169276
tomwojcik,Tomasz Wójcik,2021-07-20T10:47:34Z,2021-07-26T04:41:32Z,6,54,"{'Tomasz Wójcik', 'Mariusz Felisiak'}",2021-07-21 06:07:48,0,4,1,58776,2012-04-28T02:47:18Z,0.7351303185564714,104,9,2015-03-02T20:14:34Z,9.01,1.0,0,1,0.9988901220865705
