pr_author_login,pr_author_name,pr_create_at,pr_merged_at,pr_changed_files,pr_LOC,pr_reviewers,pr_first_review_at,pr_review_commits,pr_review_comments,pr_commits,repo_stars,repo_created_at,repo_external_contribution,repo_team_size,user_followers,user_created_at,user_experience,user_repo_experience,user_main_member,user_watched,user_succ_rate
mmiranda96,Mike Miranda,2021-07-28T17:50:32Z,2021-07-29T12:26:19Z,2,16,{'Unknown'},2021-07-28 22:21:04,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,13,2015-12-14T15:01:02Z,11.01,10.0,0,1,0.2724795640326976
ehashman,Elana Hashman,2021-07-28T16:30:26Z,2021-07-28T18:42:47Z,1,8,{'Unknown'},2021-07-28 16:30:52,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,186,2013-06-15T17:06:10Z,11.01,8.0,0,0,0.45413260672116257
palnabarun,Nabarun Pal,2021-07-28T13:48:58Z,2021-07-28T18:26:47Z,1,2,{'Unknown'},2021-07-28 13:52:33,0,1,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,185,2014-11-30T15:56:29Z,24.009999999999998,5.0,0,1,0.8746355685131196
andyzhangx,Andy Zhang,2021-07-28T05:40:56Z,2021-07-28T19:48:46Z,2,136,{'Unknown'},2021-07-28 11:05:56,0,7,2,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,399,2013-04-17T06:53:03Z,66.00999999999999,3.0,0,0,0.9241024087259507
nikhita,Nikhita Raghunath,2021-07-27T08:23:34Z,2021-07-27T09:54:46Z,1,3,{'Unknown'},2021-07-27 09:34:51,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,1311,2015-12-01T18:28:27Z,29.009999999999998,3.0,0,1,0.5170630816959669
cheftako,Walter Fender,2021-07-27T04:49:50Z,2021-07-28T14:57:35Z,15,48,{'Unknown'},2021-07-28 11:10:59,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,63,2011-07-30T03:06:42Z,12.01,9.0,0,1,0.6661115736885929
lizhuqi,Julie Qi,2021-07-27T00:58:23Z,2021-07-28T11:59:35Z,1,10,{'Unknown'},2021-07-28 11:07:09,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,4,2015-11-10T04:36:32Z,26.009999999999998,4.0,0,1,0.9611687812379854
lizhuqi,Julie Qi,2021-07-27T00:58:06Z,2021-07-28T12:07:35Z,1,10,{'Unknown'},2021-07-28 11:07:04,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,4,2015-11-10T04:36:32Z,26.009999999999998,4.0,0,1,0.9611687812379854
lizhuqi,Julie Qi,2021-07-27T00:52:54Z,2021-07-28T12:19:35Z,1,10,{'Unknown'},2021-07-28 11:07:00,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,4,2015-11-10T04:36:32Z,26.009999999999998,4.0,0,1,0.9611687812379854
msau42,Michelle Au,2021-07-26T17:46:52Z,2021-07-28T14:21:35Z,25,824,{'Unknown'},2021-07-26 18:16:59,0,1,5,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,112,2016-12-08T04:46:22Z,3.01,1.0,0,1,0.9966777408637875
rphillips,Ryan Phillips,2021-07-23T18:55:26Z,2021-07-26T17:26:34Z,157,4717,{'Unknown'},2021-07-23 20:05:51,0,1,2,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,139,2008-03-02T19:00:27Z,29.009999999999998,6.0,0,1,0.3447087211306446
andrewrynhard,Andrew Rynhard,2021-07-23T15:29:00Z,2021-07-26T13:28:34Z,2,50,{'Unknown'},2021-07-26 12:17:15,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,61,2013-01-25T16:18:34Z,6.01,2.0,0,1,0.9983361064891847
aojea,Antonio Ojea,2021-07-23T13:46:25Z,2021-07-23T22:06:34Z,1,32,{'Unknown'},2021-07-23 14:01:14,0,1,2,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,105,2014-01-20T11:50:31Z,17.009999999999998,5.0,0,1,0.41152263374485604
palnabarun,Nabarun Pal,2021-07-23T04:24:23Z,2021-07-23T19:32:33Z,1,2,{'Unknown'},2021-07-23 07:12:03,0,1,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,185,2014-11-30T15:56:29Z,24.009999999999998,5.0,0,1,0.8746355685131196
palnabarun,Nabarun Pal,2021-07-22T13:58:16Z,2021-07-22T15:13:52Z,1,350,{'Unknown'},2021-07-22 14:02:53,0,2,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,185,2014-11-30T15:56:29Z,24.009999999999998,5.0,0,1,0.8746355685131196
bobbypage,David Porter,2021-07-22T08:13:39Z,2021-07-22T23:07:28Z,1,2,{'Unknown'},2021-07-22 21:03:42,0,1,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,28,2010-11-18T05:35:26Z,12.01,2.0,0,0,0.9159034138218152
mmiranda96,Mike Miranda,2021-07-21T20:06:18Z,2021-07-22T23:07:16Z,2,16,{'Unknown'},2021-07-22 15:45:31,1,4,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,13,2015-12-14T15:01:02Z,11.01,10.0,0,1,0.2724795640326976
saschagrunert,Sascha Grunert,2021-07-21T15:30:50Z,2021-07-27T07:58:45Z,2,12,{'Unknown'},2021-07-27 06:51:56,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,635,2011-03-28T16:55:06Z,31.009999999999998,1.0,0,1,0.5159625927120284
