pr_author_login,pr_author_name,pr_create_at,pr_merged_at,pr_changed_files,pr_LOC,pr_reviewers,pr_first_review_at,pr_review_commits,pr_review_comments,pr_commits,repo_stars,repo_created_at,repo_external_contribution,repo_team_size,user_followers,user_created_at,user_experience,user_repo_experience,user_main_member,user_watched,user_succ_rate
mdo,Mark Otto,2021-07-28T19:16:23Z,2021-07-29T03:29:46Z,2,31,{'Gaël Poupard'},2021-07-28 20:39:03,0,0,1,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,20448,2009-06-25T02:06:14Z,26.009999999999998,25.0,1,1,0.49980776624375245
tip2tail,Mark Young,2021-07-28T13:06:14Z,2021-07-28T13:17:24Z,1,4,{'GeoSot'},2021-07-28 13:14:52,0,0,1,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,2,2012-05-08T21:56:40Z,1.01,1.0,0,1,0.9900990099009901
mdo,Mark Otto,2021-07-26T03:07:10Z,2021-07-27T05:14:24Z,4,17,"{'Mark Otto', 'Unknown'}",2021-07-26 06:34:00,2,3,3,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,20448,2009-06-25T02:06:14Z,26.009999999999998,25.0,1,1,0.49980776624375245
mdo,Mark Otto,2021-07-26T00:53:48Z,2021-07-26T22:28:06Z,1,12,{'Gaël Poupard'},2021-07-26 09:48:54,0,0,1,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,20448,2009-06-25T02:06:14Z,26.009999999999998,25.0,1,1,0.49980776624375245
mdo,Mark Otto,2021-07-25T20:57:16Z,2021-07-27T05:25:07Z,1,2,"{'Gaël Poupard', 'Unknown'}",2021-07-26 10:05:53,2,1,3,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,20448,2009-06-25T02:06:14Z,26.009999999999998,25.0,1,1,0.49980776624375245
mdo,Mark Otto,2021-07-25T20:34:50Z,2021-07-26T15:41:44Z,1,9,{'Gaël Poupard'},2021-07-26 09:56:04,1,0,2,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,20448,2009-06-25T02:06:14Z,26.009999999999998,25.0,1,1,0.49980776624375245
mdo,Mark Otto,2021-07-25T20:10:03Z,2021-07-26T15:45:10Z,3,49,{'Gaël Poupard'},2021-07-26 13:42:34,1,0,2,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,20448,2009-06-25T02:06:14Z,26.009999999999998,25.0,1,1,0.49980776624375245
RyanBerliner,Ryan Berliner,2021-07-21T01:14:16Z,2021-07-21T04:49:55Z,1,1,{'Unknown'},2021-07-21 04:49:28,0,0,1,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,4,2016-09-15T00:32:19Z,21.009999999999998,3.0,0,0,0.9995240361732509
GeoSot,GeoSot,2021-07-20T13:43:03Z,2021-07-20T14:20:44Z,2,18,{'Unknown'},2021-07-20 14:14:46,4,0,5,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,38,2016-09-24T00:50:37Z,12.01,9.0,1,1,0.4995836802664446
benkoshy,Ben Koshy,2021-07-19T01:12:26Z,2021-07-22T15:29:47Z,1,6,"{'Gaël Poupard', 'Mark Otto'}",2021-07-21 05:46:09,3,1,4,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,20,2015-10-12T23:53:42Z,27.009999999999998,1.0,0,0,0.7774898185857091
jitangupta,Jitan Gupta,2021-07-16T05:52:29Z,2021-07-26T15:07:27Z,1,8,"{'Gaël Poupard', 'Mark Otto'}",2021-07-18 03:49:18,1,0,2,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,4,2015-03-03T10:58:49Z,1.01,1.0,0,0,0.9900990099009901
andrewpucci,Andrew Pucci,2021-07-10T22:17:37Z,2021-07-28T13:00:10Z,1,2,"{'Gaël Poupard', 'Mark Otto'}",2021-07-26 14:59:41,1,0,2,152087,2011-07-29T21:19:00Z,0.29363518017991724,186,7,2013-01-30T00:50:18Z,87.00999999999999,1.0,0,1,0.9768992069877027
